period radius
39.6063 2.2589
4.1670 2.7904
3.6228 1.4934
5.6407 4.2375
4.5835 6.2684
3.7618 3.1147
14.6271 2.8510
2.9403 2.7345
35.1185 3.4382
6.3890 3.0508
6.6717 1.9584
20.3065 1.8190
2.7556 1.5796
14.4964 2.4865
8.2040 2.4862
169.1336 2.1928
94.2893 2.1677
234.6356 2.5282
505.4649 2.7179
59.4967 2.2916
43.5359 1.7821
21.6130 2.9969
19.0372 2.2716
13.1375 1.7653
23.4434 1.2355
7.7820 1.2620
30.2290 3.1174
389.3159 38.4896
4.2637 1.5224
8.0058 2.7977
134.2514 3.1494
125.6287 8.2981
23.6752 2.8865
130.3548 8.2582
4.7426 7.0969
18.2080 3.1523
88.2554 3.0279
9.7477 0.8015
29.5634 2.0288
47.3661 13.2948
1.9765 1.0578
4.1303 1.5576
8.1193 1.6150
41.4083 13.9242
6.0666 0.8976
0.4961 1.2758
2.5081 1.5659
6.7834 2.6465
10.4315 0.9364
7.5760 0.6511
10.3040 1.9327
118.3786 3.5764
13.0249 3.0325
22.6872 3.3674
31.9955 4.3389
46.6863 2.6504
3.8462 1.3708
51.1103 2.2893
6.2641 1.3840
122.0802 2.9874
20.7399 2.1590
47.4278 2.3873
33.8787 3.0502
20.0260 2.2824
5.7154 2.4667
33.4204 2.2858
13.6101 19.1412
14.5565 1.1466
19.1640 1.2581
31.0031 2.6111
9.3099 1.2430
103.4275 2.8579
0.7833 1.4753
3.1741 1.5541
99.6442 10.8369
0.9719 0.7889
25.1595 2.2662
65.9420 2.6660
6.3313 1.3757
5.3789 1.8533
12.3098 3.2161
35.7344 4.6074
11.4276 2.4826
23.6683 2.4472
51.7553 2.7538
2.2375 1.2485
2.1396 1.6119
4.8071 2.7051
85.0624 21.1605
0.5689 1.5088
63.0944 11.5550
13.7194 2.0492
0.9161 0.5504
190.8012 1.6244
34.1083 1.6076
9.5086 1.3651
5.5973 3.5306
15.2847 2.7337
22.2481 2.8447
110.7563 14.6107
1.1926 0.7467
3.0143 2.4790
0.6930 1.1899
2.4469 0.5459
175.6035 3.3425
4.0820 0.7511
5.5225 0.8773
8.6790 1.5442
11.8985 1.9038
7.1329 1.8477
8.9189 2.0654
13.0561 1.2636
2.9490 1.3059
34.3511 2.7934
26.8533 2.1664
3.8331 2.1383
47.0561 2.0227
3.1679 2.9804
3.0419 0.7859
26.9644 3.1206
71.4525 2.5619
20.5136 3.1276
21.1182 2.4122
6.5100 2.3308
4.8435 1.0151
17.3816 28.5686
7.5612 1.3320
14.0264 2.3318
4.2254 8.5178
20.0504 2.5474
4.3118 2.9450
9.7674 2.5318
10.8541 2.8796
19.5776 0.8669
3.6961 1.7146
6.0986 0.8082
77.6114 2.4979
13.4450 1.0040
119.0206 7.7426
4.8875 1.8109
16.0852 3.3706
235.9972 11.3149
43.3168 3.3497
31.5021 1.6124
1.8978 1.5794
3.2828 1.6325
5.0282 1.8556
7.6647 1.4639
6.9636 0.8713
65.6484 2.3212
5.4409 1.0073
4.4216 1.8298
13.3310 34.8728
23.1274 1.3709
6.8834 2.3473
3.5158 1.1949
19.2541 2.7746
54.1560 3.5358
9.0824 1.4095
0.5679 1.3190
3.5465 2.7216
5.7007 2.5435
2.9465 1.0633
35.1810 5.3660
85.7356 2.5163
2.3916 1.0529
104.8205 7.5688
37.1012 3.7396
3.6266 0.8273
14.0545 1.2427
17.4609 2.3357
3.2198 1.7063
36.2760 3.0548
7.4902 2.5846
23.2218 2.1664
8.9685 1.9427
5.9123 1.9698
8.9858 1.8778
7.6481 1.1382
59.8780 2.5589
17.1326 2.1874
11.9789 2.1608
20.8341 2.3209
2.5808 1.3402
3.7155 1.5001
7.0557 2.1821
0.6650 1.0523
0.7165 0.9259
187.7465 3.0595
15.1858 1.8439
5.3087 1.0741
12.9407 41.5173
2.0323 1.1171
11.1317 1.2352
16.2594 1.4418
4.2286 1.5296
7.4666 1.3819
13.4747 2.2366
11.7201 8.7131
31.0572 1.9083
24.7545 1.8576
10.5226 1.6536
19.7617 4.3068
11.5789 2.3007
16.3992 2.1662
6.7397 1.3123
11.5554 2.1502
11.5674 1.1853
29.0079 2.8759
2.8922 0.8056
3.9512 0.9615
5.1012 0.9777
5.9927 1.0462
7.2352 0.9413
0.7640 0.8110
14.5893 2.1753
36.7704 2.6525
142.5463 2.2755
37.0552 2.8839
57.2486 2.8855
3.2262 0.8196
10.7770 1.2990
10.1832 0.8224
6.2322 0.6375
8.2942 0.6781
10.4173 1.5274
5.4675 0.9903
33.6012 7.3504
6.7665 1.7103
16.0878 2.5357
41.7494 2.9132
4.3473 2.9578
25.8550 2.6178
1.0259 1.3240
4.4175 2.2268
92.4367 3.0194
2.4221 4.3113
4.1251 1.0739
11.1872 1.4276
4.6018 2.1604
10.1046 1.3076
5.8853 1.3098
28.4750 2.3163
4.8663 1.7046
106.9570 2.8324
64.1894 4.1449
1.7168 0.7712
8.1674 1.0637
5.1233 1.3710
12.3308 2.2206
15.9425 2.4862
5.6215 1.4417
36.2920 2.6251
2.3644 0.8041
1.1512 50.2819
6.6996 1.4294
12.5447 2.0364
17.2323 3.1410
26.6952 1.5807
3.0352 3.4490
3.2394 1.2562
11.0317 1.6468
25.7627 3.0135
7.7954 1.2049
1.9078 1.7464
13.6994 3.7640
4.3094 1.8463
154.6733 2.7633
2.7141 1.9176
19.5489 1.8575
7.4183 1.1020
56.4350 2.2823
11.5556 2.0589
3.0162 1.6284
18.3722 1.0808
12.0399 2.2166
20.8375 1.4400
5.9549 2.3655
96.1694 3.0904
16.8320 1.5259
7.1930 0.9207
109.4450 3.0381
3.1793 1.2937
23.5892 3.4247
125.8652 11.3845
34.5442 2.4609
86.1165 3.0862
135.1880 2.4174
2.3830 1.7111
26.4444 3.5873
51.5389 5.0627
5.9023 2.2271
7.3812 1.0223
12.8747 10.8353
21.0225 3.0772
226.8907 4.5470
25.3089 1.6583
47.7439 1.6291
2.3459 1.2326
3.6483 1.3339
5.6449 2.6751
8.7429 1.9282
2.6889 14.1716
7.4269 1.5002
10.4189 2.5329
18.7358 2.2560
8.4364 1.6129
4.5638 1.1259
7.0632 1.1799
196.4382 2.0152
20.4833 3.0034
3.3361 1.7820
9.4395 4.2770
2.6170 1.4498
4.9214 2.0256
7.0643 2.2361
10.6876 2.5904
20.3030 2.1178
29.0224 2.4943
